datetime,temperature,year,month,day,hour
2025-01-01 00:00:00,-2.3,2025,1,1,0
2025-01-01 03:00:00,-6.3,2025,1,1,3
2025-01-01 06:00:00,1.0,2025,1,1,6
2025-01-01 09:00:00,3.7,2025,1,1,9
2025-01-01 12:00:00,7.5,2025,1,1,12
2025-01-01 15:00:00,6.2,2025,1,1,15
2025-01-01 18:00:00,3.3,2025,1,1,18
2025-01-01 21:00:00,3.7,2025,1,1,21
2025-01-02 00:00:00,6.0,2025,1,2,0
2025-01-02 03:00:00,5.6,2025,1,2,3
2025-01-02 06:00:00,3.7,2025,1,2,6
2025-01-02 09:00:00,6.3,2025,1,2,9
2025-01-02 12:00:00,6.9,2025,1,2,12
2025-01-02 15:00:00,4.0,2025,1,2,15
2025-01-02 18:00:00,3.9,2025,1,2,18
2025-01-02 21:00:00,3.4,2025,1,2,21
2025-01-03 00:00:00,-0.2,2025,1,3,0
2025-01-03 03:00:00,-1.0,2025,1,3,3
2025-01-03 06:00:00,-1.3,2025,1,3,6
2025-01-03 09:00:00,-0.9,2025,1,3,9
2025-01-03 12:00:00,0.0,2025,1,3,12
2025-01-03 15:00:00,0.0,2025,1,3,15
2025-01-03 18:00:00,-0.5,2025,1,3,18
2025-01-03 21:00:00,-0.8,2025,1,3,21
2025-01-04 00:00:00,-0.8,2025,1,4,0
2025-01-04 03:00:00,-1.8,2025,1,4,3
2025-01-04 06:00:00,-4.0,2025,1,4,6
2025-01-04 09:00:00,-3.1,2025,1,4,9
2025-01-04 12:00:00,-2.4,2025,1,4,12
2025-01-04 15:00:00,-3.4,2025,1,4,15
2025-01-04 18:00:00,-6.9,2025,1,4,18
2025-01-04 21:00:00,-10.2,2025,1,4,21
2025-01-05 00:00:00,-8.7,2025,1,5,0
2025-01-05 03:00:00,-8.8,2025,1,5,3
2025-01-05 06:00:00,-11.1,2025,1,5,6
2025-01-05 09:00:00,-4.4,2025,1,5,9
2025-01-05 12:00:00,-1.1,2025,1,5,12
2025-01-05 15:00:00,-2.6,2025,1,5,15
2025-01-05 18:00:00,-2.5,2025,1,5,18
2025-01-05 21:00:00,-2.7,2025,1,5,21
2025-01-06 00:00:00,-2.4,2025,1,6,0
2025-01-06 03:00:00,-1.0,2025,1,6,3
2025-01-06 06:00:00,0.3,2025,1,6,6
2025-01-06 09:00:00,4.6,2025,1,6,9
2025-01-06 12:00:00,7.9,2025,1,6,12
2025-01-06 15:00:00,7.2,2025,1,6,15
2025-01-06 18:00:00,6.7,2025,1,6,18
2025-01-06 21:00:00,9.4,2025,1,6,21
2025-01-07 00:00:00,8.6,2025,1,7,0
2025-01-07 03:00:00,9.0,2025,1,7,3
2025-01-07 06:00:00,5.3,2025,1,7,6
2025-01-07 09:00:00,9.3,2025,1,7,9
2025-01-07 12:00:00,11.0,2025,1,7,12
2025-01-07 15:00:00,11.1,2025,1,7,15
2025-01-07 18:00:00,8.4,2025,1,7,18
2025-01-07 21:00:00,9.9,2025,1,7,21
2025-01-08 00:00:00,2.5,2025,1,8,0
2025-01-08 03:00:00,1.5,2025,1,8,3
2025-01-08 06:00:00,-1.5,2025,1,8,6
2025-01-08 09:00:00,4.4,2025,1,8,9
2025-01-08 12:00:00,5.7,2025,1,8,12
2025-01-08 15:00:00,4.2,2025,1,8,15
2025-01-08 18:00:00,2.7,2025,1,8,18
2025-01-08 21:00:00,1.6,2025,1,8,21
2025-01-09 00:00:00,1.4,2025,1,9,0
2025-01-09 03:00:00,1.9,2025,1,9,3
2025-01-09 06:00:00,2.7,2025,1,9,6
2025-01-09 09:00:00,7.1,2025,1,9,9
2025-01-09 12:00:00,9.7,2025,1,9,12
2025-01-09 15:00:00,9.4,2025,1,9,15
2025-01-09 18:00:00,8.8,2025,1,9,18
2025-01-09 21:00:00,8.1,2025,1,9,21
2025-01-10 00:00:00,10.2,2025,1,10,0
2025-01-10 03:00:00,10.1,2025,1,10,3
2025-01-10 06:00:00,6.5,2025,1,10,6
2025-01-10 09:00:00,2.1,2025,1,10,9
2025-01-10 12:00:00,0.3,2025,1,10,12
2025-01-10 15:00:00,0.4,2025,1,10,15
2025-01-10 18:00:00,0.6,2025,1,10,18
2025-01-10 21:00:00,-0.1,2025,1,10,21
2025-01-11 00:00:00,-0.5,2025,1,11,0
2025-01-11 03:00:00,-0.2,2025,1,11,3
2025-01-11 06:00:00,-1.1,2025,1,11,6
2025-01-11 09:00:00,-0.1,2025,1,11,9
2025-01-11 12:00:00,0.2,2025,1,11,12
2025-01-11 15:00:00,-0.7,2025,1,11,15
2025-01-11 18:00:00,-1.6,2025,1,11,18
2025-01-11 21:00:00,-2.0,2025,1,11,21
2025-01-12 00:00:00,-3.2,2025,1,12,0
2025-01-12 03:00:00,-2.8,2025,1,12,3
2025-01-12 06:00:00,-2.0,2025,1,12,6
2025-01-12 09:00:00,-1.2,2025,1,12,9
2025-01-12 12:00:00,-0.7,2025,1,12,12
2025-01-12 15:00:00,-1.1,2025,1,12,15
2025-01-12 18:00:00,-1.1,2025,1,12,18
2025-01-12 21:00:00,-1.6,2025,1,12,21
2025-01-13 00:00:00,-2.3,2025,1,13,0
2025-01-13 03:00:00,-1.7,2025,1,13,3
2025-01-13 06:00:00,-1.4,2025,1,13,6
2025-01-13 09:00:00,-0.9,2025,1,13,9
2025-01-13 12:00:00,-0.5,2025,1,13,12
2025-01-13 15:00:00,-0.9,2025,1,13,15
2025-01-13 18:00:00,-1.8,2025,1,13,18
2025-01-13 21:00:00,-2.4,2025,1,13,21
2025-01-14 00:00:00,-2.8,2025,1,14,0
2025-01-14 03:00:00,-3.2,2025,1,14,3
2025-01-14 06:00:00,-3.9,2025,1,14,6
2025-01-14 09:00:00,-2.7,2025,1,14,9
2025-01-14 12:00:00,-1.6,2025,1,14,12
2025-01-14 15:00:00,-1.2,2025,1,14,15
2025-01-14 18:00:00,-1.6,2025,1,14,18
2025-01-14 21:00:00,-0.8,2025,1,14,21
2025-01-15 00:00:00,-0.2,2025,1,15,0
2025-01-15 03:00:00,-0.7,2025,1,15,3
2025-01-15 06:00:00,-2.2,2025,1,15,6
2025-01-15 09:00:00,-1.9,2025,1,15,9
2025-01-15 12:00:00,-1.2,2025,1,15,12
2025-01-15 15:00:00,-1.0,2025,1,15,15
2025-01-15 18:00:00,-0.7,2025,1,15,18
2025-01-15 21:00:00,-0.1,2025,1,15,21
2025-01-16 00:00:00,-0.1,2025,1,16,0
2025-01-16 03:00:00,-0.2,2025,1,16,3
2025-01-16 06:00:00,-0.3,2025,1,16,6
2025-01-16 09:00:00,0.3,2025,1,16,9
2025-01-16 12:00:00,0.3,2025,1,16,12
2025-01-16 15:00:00,0.2,2025,1,16,15
2025-01-16 18:00:00,-0.4,2025,1,16,18
2025-01-16 21:00:00,0.1,2025,1,16,21
2025-01-17 00:00:00,0.1,2025,1,17,0
2025-01-17 03:00:00,0.5,2025,1,17,3
2025-01-17 06:00:00,0.1,2025,1,17,6
2025-01-17 09:00:00,1.4,2025,1,17,9
2025-01-17 12:00:00,3.4,2025,1,17,12
2025-01-17 15:00:00,2.7,2025,1,17,15
2025-01-17 18:00:00,1.1,2025,1,17,18
2025-01-17 21:00:00,0.9,2025,1,17,21
2025-01-18 00:00:00,1.2,2025,1,18,0
2025-01-18 03:00:00,1.0,2025,1,18,3
2025-01-18 06:00:00,0.1,2025,1,18,6
2025-01-18 09:00:00,2.2,2025,1,18,9
2025-01-18 12:00:00,5.0,2025,1,18,12
2025-01-18 15:00:00,4.2,2025,1,18,15
2025-01-18 18:00:00,1.6,2025,1,18,18
2025-01-18 21:00:00,0.8,2025,1,18,21
2025-01-19 00:00:00,0.1,2025,1,19,0
2025-01-19 03:00:00,-1.2,2025,1,19,3
2025-01-19 06:00:00,-0.9,2025,1,19,6
2025-01-19 09:00:00,-0.8,2025,1,19,9
2025-01-19 12:00:00,0.1,2025,1,19,12
2025-01-19 15:00:00,1.1,2025,1,19,15
2025-01-19 18:00:00,-3.1,2025,1,19,18
2025-01-19 21:00:00,-4.1,2025,1,19,21
2025-01-20 00:00:00,-4.6,2025,1,20,0
2025-01-20 03:00:00,-4.7,2025,1,20,3
2025-01-20 06:00:00,-5.5,2025,1,20,6
2025-01-20 09:00:00,5.6,2025,1,20,9
2025-01-20 12:00:00,9.2,2025,1,20,12
2025-01-20 15:00:00,6.0,2025,1,20,15
2025-01-20 18:00:00,-1.2,2025,1,20,18
2025-01-20 21:00:00,-1.1,2025,1,20,21
2025-01-21 00:00:00,0.6,2025,1,21,0
2025-01-21 03:00:00,-1.6,2025,1,21,3
2025-01-21 06:00:00,-1.6,2025,1,21,6
2025-01-21 09:00:00,3.3,2025,1,21,9
2025-01-21 12:00:00,5.4,2025,1,21,12
2025-01-21 15:00:00,3.1,2025,1,21,15
2025-01-21 18:00:00,1.0,2025,1,21,18
2025-01-21 21:00:00,-0.6,2025,1,21,21
2025-01-22 00:00:00,-1.3,2025,1,22,0
2025-01-22 03:00:00,0.1,2025,1,22,3
2025-01-22 06:00:00,0.0,2025,1,22,6
2025-01-22 09:00:00,0.6,2025,1,22,9
2025-01-22 12:00:00,1.4,2025,1,22,12
2025-01-22 15:00:00,1.1,2025,1,22,15
2025-01-22 18:00:00,0.7,2025,1,22,18
2025-01-22 21:00:00,0.8,2025,1,22,21
2025-01-23 00:00:00,-2.5,2025,1,23,0
2025-01-23 03:00:00,-1.4,2025,1,23,3
2025-01-23 06:00:00,-0.8,2025,1,23,6
