nameEng,nameUa,value
Kyivska oblast',Київська область,184.5
Zhytomyrska oblast',Житомирська область,190.6
Dnipropetrovska oblast',Дніпропетровська область,131.4
Vinnytska oblast',Вінницька область,156.6
Autonomous Republic of Crimea,АРК,-1
Chernihivska oblast',Чернігівська область,165.4
Chernivetska oblast',Чернівецька область,181.9
Cherkaska oblast',Черкаська область,178
Khmelnytska oblast',Хмельницька область,191.2
Khersonska oblast',Херсонська область,190.5
Kharkivska oblast',Харківська область,120.1
Sumska oblast',Сумська область,146.9
Poltavska oblast',Полтавська область,199.8
Odeska oblast',Одеська область,122.9
Mykolaivska oblast',Миколаївська область,153.8
Luhanska oblast',Луганська область,198.3
Kirovohradska oblast',Кіровоградська область,135.1
Zaporizka oblast',Запорізька область,126.3
Lvivska oblast',Львівська область,176.1
Ternopilska oblast',Тернопільська область,192.4
Rivnenska oblast',Рівненська область,176.9
Volynska oblast',Волинська область,149.1
Donetska oblast',Донецька область,131
Ivano-Frankivska oblast',Івано-Франківська область,171
Zakarpatska oblast',Закарпатська область,164.7
