nameEng,nameUa,value
Kyivska oblast',Київська область,86.7
Zhytomyrska oblast',Житомирська область,82.5
Dnipropetrovska oblast',Дніпропетровська область,51.9
Vinnytska oblast',Вінницька область,93.7
Autonomous Republic of Crimea,АРК,-1
Chernihivska oblast',Чернігівська область,85.5
Chernivetska oblast',Чернівецька область,74.7
Cherkaska oblast',Черкаська область,89.5
Khmelnytska oblast',Хмельницька область,102.8
Khersonska oblast',Херсонська область,90.3
Kharkivska oblast',Харківська область,51.4
Sumska oblast',Сумська область,67.7
Poltavska oblast',Полтавська область,67.9
Odeska oblast',Одеська область,61
Mykolaivska oblast',Миколаївська область,52.3
Luhanska oblast',Луганська область,28.8
Kirovohradska oblast',Кіровоградська область,70.3
Zaporizka oblast',Запорізька область,75.4
Lvivska oblast',Львівська область,90.6
Ternopilska oblast',Тернопільська область,98.7
Rivnenska oblast',Рівненська область,81.2
Volynska oblast',Волинська область,86.1
Donetska oblast',Донецька область,42.5
Ivano-Frankivska oblast',Івано-Франківська область,90.2
Zakarpatska oblast',Закарпатська область,50.4
