nameEng,nameUa,value
Kyivska oblast',Київська область,51.7
Zhytomyrska oblast',Житомирська область,48.2
Dnipropetrovska oblast',Дніпропетровська область,37
Vinnytska oblast',Вінницька область,55.2
Autonomous Republic of Crimea,АРК,-1
Chernihivska oblast',Чернігівська область,46.3
Chernivetska oblast',Чернівецька область,41.9
Cherkaska oblast',Черкаська область,54.4
Khmelnytska oblast',Хмельницька область,57.4
Khersonska oblast',Херсонська область,34
Kharkivska oblast',Харківська область,42.1
Sumska oblast',Сумська область,48.3
Poltavska oblast',Полтавська область,48
Odeska oblast',Одеська область,30.5
Mykolaivska oblast',Миколаївська область,36.3
Luhanska oblast',Луганська область,36.2
Kirovohradska oblast',Кіровоградська область,43.8
Zaporizka oblast',Запорізька область,35.9
Lvivska oblast',Львівська область,47.8
Ternopilska oblast',Тернопільська область,51.1
Rivnenska oblast',Рівненська область,44.1
Volynska oblast',Волинська область,43.9
Donetska oblast',Донецька область,37.2
Ivano-Frankivska oblast',Івано-Франківська область,45.2
Zakarpatska oblast',Закарпатська область,34
