nameEng,nameUa,value
Kyivska oblast',Київська область,27.3
Zhytomyrska oblast',Житомирська область,25.2
Dnipropetrovska oblast',Дніпропетровська область,20
Vinnytska oblast',Вінницька область,30.7
Autonomous Republic of Crimea,АРК,-1
Chernihivska oblast',Чернігівська область,25.9
Chernivetska oblast',Чернівецька область,28.4
Cherkaska oblast',Черкаська область,28.3
Khmelnytska oblast',Хмельницька область,30
Khersonska oblast',Херсонська область,16
Kharkivska oblast',Харківська область,27.8
Sumska oblast',Сумська область,24.8
Poltavska oblast',Полтавська область,26.4
Odeska oblast',Одеська область,21.4
Mykolaivska oblast',Миколаївська область,20.8
Luhanska oblast',Луганська область,19.7
Kirovohradska oblast',Кіровоградська область,22.4
Zaporizka oblast',Запорізька область,16.4
Lvivska oblast',Львівська область,25.7
Ternopilska oblast',Тернопільська область,27
Rivnenska oblast',Рівненська область,28
Volynska oblast',Волинська область,24.3
Donetska oblast',Донецька область,18.6
Ivano-Frankivska oblast',Івано-Франківська область,23
Zakarpatska oblast',Закарпатська область,21.8
