nameEng,nameUa,value
Kyivska oblast',Київська область,21.4
Zhytomyrska oblast',Житомирська область,21
Dnipropetrovska oblast',Дніпропетровська область,24.1
Vinnytska oblast',Вінницька область,23.7
Autonomous Republic of Crimea,АРК,-1
Chernihivska oblast',Чернігівська область,20.9
Chernivetska oblast',Чернівецька область,20.9
Cherkaska oblast',Черкаська область,21
Khmelnytska oblast',Хмельницька область,26.6
Khersonska oblast',Херсонська область,34.1
Kharkivska oblast',Харківська область,16.4
Sumska oblast',Сумська область,21.9
Poltavska oblast',Полтавська область,19.3
Odeska oblast',Одеська область,18.3
Mykolaivska oblast',Миколаївська область,11.8
Luhanska oblast',Луганська область,-1
Kirovohradska oblast',Кіровоградська область,18.4
Zaporizka oblast',Запорізька область,35.5
Lvivska oblast',Львівська область,27.6
Ternopilska oblast',Тернопільська область,25.2
Rivnenska oblast',Рівненська область,25.1
Volynska oblast',Волинська область,24.6
Donetska oblast',Донецька область,-1
Ivano-Frankivska oblast',Івано-Франківська область,22.3
Zakarpatska oblast',Закарпатська область,21.5
