nameEng,nameUa,value
Kyivska oblast',Київська область,43.5
Zhytomyrska oblast',Житомирська область,34.8
Dnipropetrovska oblast',Дніпропетровська область,29.4
Vinnytska oblast',Вінницька область,44.8
Autonomous Republic of Crimea,АРК,-1
Chernihivska oblast',Чернігівська область,40.2
Chernivetska oblast',Чернівецька область,34.8
Cherkaska oblast',Черкаська область,42.4
Khmelnytska oblast',Хмельницька область,42.8
Khersonska oblast',Херсонська область,32.6
Kharkivska oblast',Харківська область,32.5
Sumska oblast',Сумська область,39.2
Poltavska oblast',Полтавська область,34.7
Odeska oblast',Одеська область,29
Mykolaivska oblast',Миколаївська область,32
Luhanska oblast',Луганська область,23.8
Kirovohradska oblast',Кіровоградська область,33.9
Zaporizka oblast',Запорізька область,30.3
Lvivska oblast',Львівська область,46.1
Ternopilska oblast',Тернопільська область,46.3
Rivnenska oblast',Рівненська область,38.1
Volynska oblast',Волинська область,34
Donetska oblast',Донецька область,28
Ivano-Frankivska oblast',Івано-Франківська область,42.5
Zakarpatska oblast',Закарпатська область,27.2
