nameEng,nameUa,value
Kyivska oblast',Київська область,172
Zhytomyrska oblast',Житомирська область,166.6
Dnipropetrovska oblast',Дніпропетровська область,87.7
Vinnytska oblast',Вінницька область,174.1
Autonomous Republic of Crimea,АРК,-1
Chernihivska oblast',Чернігівська область,167.5
Chernivetska oblast',Чернівецька область,171.2
Cherkaska oblast',Черкаська область,144.7
Khmelnytska oblast',Хмельницька область,193
Khersonska oblast',Херсонська область,126
Kharkivska oblast',Харківська область,124.4
Sumska oblast',Сумська область,161.5
Poltavska oblast',Полтавська область,185.1
Odeska oblast',Одеська область,125.3
Mykolaivska oblast',Миколаївська область,105.6
Luhanska oblast',Луганська область,197
Kirovohradska oblast',Кіровоградська область,124
Zaporizka oblast',Запорізька область,95.3
Lvivska oblast',Львівська область,168.9
Ternopilska oblast',Тернопільська область,161.8
Rivnenska oblast',Рівненська область,178
Volynska oblast',Волинська область,149.8
Donetska oblast',Донецька область,119.1
Ivano-Frankivska oblast',Івано-Франківська область,167
Zakarpatska oblast',Закарпатська область,152.6
