nameEng,nameUa,value
Kyivska oblast',Київська область,97.2
Zhytomyrska oblast',Житомирська область,91
Dnipropetrovska oblast',Дніпропетровська область,43
Vinnytska oblast',Вінницька область,99
Autonomous Republic of Crimea,АРК,-1
Chernihivska oblast',Чернігівська область,94
Chernivetska oblast',Чернівецька область,61
Cherkaska oblast',Черкаська область,92.4
Khmelnytska oblast',Хмельницька область,100.5
Khersonska oblast',Херсонська область,71
Kharkivska oblast',Харківська область,56.3
Sumska oblast',Сумська область,89
Poltavska oblast',Полтавська область,82.2
Odeska oblast',Одеська область,49.7
Mykolaivska oblast',Миколаївська область,50.4
Luhanska oblast',Луганська область,34.6
Kirovohradska oblast',Кіровоградська область,60.8
Zaporizka oblast',Запорізька область,34.6
Lvivska oblast',Львівська область,89.2
Ternopilska oblast',Тернопільська область,93.5
Rivnenska oblast',Рівненська область,84.9
Volynska oblast',Волинська область,104.3
Donetska oblast',Донецька область,29.4
Ivano-Frankivska oblast',Івано-Франківська область,75.6
Zakarpatska oblast',Закарпатська область,53.1
