nameEng,nameUa,value
Kyivska oblast',Київська область,35.3
Zhytomyrska oblast',Житомирська область,42.5
Dnipropetrovska oblast',Дніпропетровська область,35.9
Vinnytska oblast',Вінницька область,50.8
Autonomous Republic of Crimea,АРК,-1
Chernihivska oblast',Чернігівська область,46.9
Chernivetska oblast',Чернівецька область,50.8
Cherkaska oblast',Черкаська область,37.4
Khmelnytska oblast',Хмельницька область,58.9
Khersonska oblast',Херсонська область,35.1
Kharkivska oblast',Харківська область,46.7
Sumska oblast',Сумська область,51.3
Poltavska oblast',Полтавська область,40.1
Odeska oblast',Одеська область,38.8
Mykolaivska oblast',Миколаївська область,34.8
Luhanska oblast',Луганська область,38.8
Kirovohradska oblast',Кіровоградська область,33.9
Zaporizka oblast',Запорізька область,33.3
Lvivska oblast',Львівська область,48.9
Ternopilska oblast',Тернопільська область,55.2
Rivnenska oblast',Рівненська область,45.9
Volynska oblast',Волинська область,45.1
Donetska oblast',Донецька область,40.1
Ivano-Frankivska oblast',Івано-Франківська область,51.7
Zakarpatska oblast',Закарпатська область,32.9
