nameEng,nameUa,value
Kyivska oblast',Київська область,24.1
Zhytomyrska oblast',Житомирська область,23.1
Dnipropetrovska oblast',Дніпропетровська область,19.2
Vinnytska oblast',Вінницька область,29.2
Autonomous Republic of Crimea,АРК,-1
Chernihivska oblast',Чернігівська область,24.2
Chernivetska oblast',Чернівецька область,25.3
Cherkaska oblast',Черкаська область,24.8
Khmelnytska oblast',Хмельницька область,30
Khersonska oblast',Херсонська область,14
Kharkivska oblast',Харківська область,22.7
Sumska oblast',Сумська область,25.6
Poltavska oblast',Полтавська область,23.5
Odeska oblast',Одеська область,19.9
Mykolaivska oblast',Миколаївська область,16.4
Luhanska oblast',Луганська область,15.7
Kirovohradska oblast',Кіровоградська область,19.7
Zaporizka oblast',Запорізька область,15.2
Lvivska oblast',Львівська область,21
Ternopilska oblast',Тернопільська область,28.5
Rivnenska oblast',Рівненська область,27.3
Volynska oblast',Волинська область,24.7
Donetska oblast',Донецька область,16.6
Ivano-Frankivska oblast',Івано-Франківська область,24.4
Zakarpatska oblast',Закарпатська область,21.7
