nameEng,nameUa,value
Kyivska oblast',Київська область,25.8
Zhytomyrska oblast',Житомирська область,25.5
Dnipropetrovska oblast',Дніпропетровська область,17.1
Vinnytska oblast',Вінницька область,28.2
Autonomous Republic of Crimea,АРК,-1
Chernihivska oblast',Чернігівська область,25.4
Chernivetska oblast',Чернівецька область,27
Cherkaska oblast',Черкаська область,24.4
Khmelnytska oblast',Хмельницька область,29.9
Khersonska oblast',Херсонська область,32.5
Kharkivska oblast',Харківська область,16.6
Sumska oblast',Сумська область,22.7
Poltavska oblast',Полтавська область,22.9
Odeska oblast',Одеська область,22.3
Mykolaivska oblast',Миколаївська область,13.3
Luhanska oblast',Луганська область,7.1
Kirovohradska oblast',Кіровоградська область,17.1
Zaporizka oblast',Запорізька область,32.4
Lvivska oblast',Львівська область,29.5
Ternopilska oblast',Тернопільська область,30.3
Rivnenska oblast',Рівненська область,26.6
Volynska oblast',Волинська область,29.6
Donetska oblast',Донецька область,5.1
Ivano-Frankivska oblast',Івано-Франківська область,31.7
Zakarpatska oblast',Закарпатська область,22.1
