nameEng,nameUa,value
Kyivska oblast',Київська область,37.9
Zhytomyrska oblast',Житомирська область,36.8
Dnipropetrovska oblast',Дніпропетровська область,31.7
Vinnytska oblast',Вінницька область,39.1
Autonomous Republic of Crimea,АРК,-1
Chernihivska oblast',Чернігівська область,43.9
Chernivetska oblast',Чернівецька область,34.5
Cherkaska oblast',Черкаська область,37.8
Khmelnytska oblast',Хмельницька область,40.3
Khersonska oblast',Херсонська область,32.2
Kharkivska oblast',Харківська область,40.2
Sumska oblast',Сумська область,41.5
Poltavska oblast',Полтавська область,36
Odeska oblast',Одеська область,17.8
Mykolaivska oblast',Миколаївська область,27.5
Luhanska oblast',Луганська область,27.4
Kirovohradska oblast',Кіровоградська область,33.6
Zaporizka oblast',Запорізька область,29.7
Lvivska oblast',Львівська область,44.4
Ternopilska oblast',Тернопільська область,43
Rivnenska oblast',Рівненська область,37.4
Volynska oblast',Волинська область,34.2
Donetska oblast',Донецька область,30.4
Ivano-Frankivska oblast',Івано-Франківська область,43.9
Zakarpatska oblast',Закарпатська область,32.3
