"Показник","Територіальний розріз","Категорія розрізу","Розріз","Стать","Тип домогосподарства","Періодичність","2019","2019-Q1","2019-M01","2019-M02","2019-M03","2019-Q2","2019-M04","2019-M05","2019-M06","2019-Q3","2019-M07","2019-M08","2019-M09","2019-Q4","2019-M10","2019-M11","2019-M12","2020","2020-Q1","2020-M01","2020-M02","2020-M03","2020-Q2","2020-M04","2020-M05","2020-M06","2020-Q3","2020-M07","2020-M08","2020-M09","2020-Q4","2020-M10","2020-M11","2020-M12","2021","2021-Q1","2021-M01","2021-M02","2021-M03","2021-Q2","2021-M04","2021-M05","2021-M06","2021-Q3","2021-M07","2021-M08","2021-M09","2021-Q4","2021-M10","2021-M11","2021-M12"
"Частка сільського населення, яке володіє правами на землю сільськогосподарського призначення, у загальній кількості сільського населення, яке займається сільськогосподарською діяльністю","Україна","Загалом","Загалом","Жінки","Загалом","Річна","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57","","","","","","","","","","","","","","","",""
"Частка сільського населення, яке володіє правами на землю сільськогосподарського призначення, у загальній кількості сільського населення, яке займається сільськогосподарською діяльністю","Україна","Загалом","Загалом","Чоловіки","Загалом","Річна","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54","","","","","","","","","","","","","","","",""
"Частка сільського населення, яке володіє правами на землю сільськогосподарського призначення, у загальній кількості сільського населення, яке займається сільськогосподарською діяльністю","Україна","Загалом","Загалом","Усього","Загалом","Річна","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55.6","","","","","","","","","","","","","","","",""
"Частка жінок, які володіють правами на землю сільськогосподарського призначення, у загальній кількості сільського населення, яке володіє правами на землю сільськогосподарського призначення","Україна","Вид права володіння на землю","Власність на земельну ділянку","Жінки","Загалом","Річна","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96.4","","","","","","","","","","","","","","","",""
"Частка жінок, які володіють правами на землю сільськогосподарського призначення, у загальній кількості сільського населення, яке володіє правами на землю сільськогосподарського призначення","Україна","Вид права володіння на землю","Оренда земельної ділянки","Жінки","Загалом","Річна","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.4","","","","","","","","","","","","","","","",""
"Частка жінок, які володіють правами на землю сільськогосподарського призначення, у загальній кількості сільського населення, яке володіє правами на землю сільськогосподарського призначення","Україна","Вид права володіння на землю","Постійне користування земельною ділянкою","Жінки","Загалом","Річна","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.9","","","","","","","","","","","","","","","",""
"Частка жінок, які володіють правами на землю сільськогосподарського призначення, у загальній кількості сільського населення, яке володіє правами на землю сільськогосподарського призначення","Україна","Загалом","Загалом","Жінки","Загалом","Річна","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.5","","","","","","","","","","","","","","","",""
"Кількість сільськогосподарських тварин, що вибули з домогосподарств, у розрахунку на 1000 сільськогосподарських тварин відповідного виду на початок місяця, у тому числі пало (загинуло)","Україна","Вид сільськогосподарських тварин","Кури дорослі","Не застосовується","Домогосподарства, які очолюють жінки","Квартальна","","3","","","","3","","","","4","","","","5","","","","","3","","","","2","","","","4","","","","4","","","","","3","","","","5","","","","4","","","","3","","",""
"Кількість сільськогосподарських тварин, що вибули з домогосподарств, у розрахунку на 1000 сільськогосподарських тварин відповідного виду на початок місяця, у тому числі пало (загинуло)","Україна","Вид сільськогосподарських тварин","Кури дорослі","Не застосовується","Домогосподарства, які очолюють чоловіки","Квартальна","","3","","","","2","","","","2","","","","3","","","","","3","","","","2","","","","3","","","","3","","","","","2","","","","2","","","","5","","","","3","","",""
"Кількість сільськогосподарських тварин, що вибули з домогосподарств, у розрахунку на 1000 сільськогосподарських тварин відповідного виду на початок місяця, у тому числі пало (загинуло)","Україна","Вид сільськогосподарських тварин","Кури дорослі","Не застосовується","Загалом","Квартальна","","3","","","","3","","","","3","","","","4","","","","","3","","","","2","","","","4","","","","4","","","","","3","","","","4","","","","4","","","","3","","",""
"Кількість сільськогосподарських тварин, що вибули з домогосподарств, у розрахунку на 1000 сільськогосподарських тварин відповідного виду на початок місяця, у тому числі пало (загинуло)","Україна","Вид сільськогосподарських тварин","Кози","Не застосовується","Домогосподарства, які очолюють жінки","Квартальна","","14","","","","9","","","","1","","","","2","","","","","5","","","","3","","","","2","","","","6","","","","","13","","","","8","","","","2","","","","9","","",""
"Кількість сільськогосподарських тварин, що вибули з домогосподарств, у розрахунку на 1000 сільськогосподарських тварин відповідного виду на початок місяця, у тому числі пало (загинуло)","Україна","Вид сільськогосподарських тварин","Кози","Не застосовується","Домогосподарства, які очолюють чоловіки","Квартальна","","2","","","","7","","","","3","","","","13","","","","","6","","","","6","","","","3","","","","0","","","","","6","","","","3","","","","3","","","","1","","",""
"Кількість сільськогосподарських тварин, що вибули з домогосподарств, у розрахунку на 1000 сільськогосподарських тварин відповідного виду на початок місяця, у тому числі пало (загинуло)","Україна","Вид сільськогосподарських тварин","Кози","Не застосовується","Загалом","Квартальна","","8","","","","8","","","","2","","","","7","","","","","5","","","","4","","","","2","","","","3","","","","","9","","","","5","","","","2","","","","6","","",""
"Кількість сільськогосподарських тварин, що вибули з домогосподарств, у розрахунку на 1000 сільськогосподарських тварин відповідного виду на початок місяця, у тому числі пало (загинуло)","Україна","Вид сільськогосподарських тварин","Коні","Не застосовується","Домогосподарства, які очолюють жінки","Квартальна","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","0","","","","0","","","","0","","",""
"Кількість сільськогосподарських тварин, що вибули з домогосподарств, у розрахунку на 1000 сільськогосподарських тварин відповідного виду на початок місяця, у тому числі пало (загинуло)","Україна","Вид сільськогосподарських тварин","Коні","Не застосовується","Домогосподарства, які очолюють чоловіки","Квартальна","","","","","","","","","","","","","","0","","","","","","","","","1","","","","","","","","","","","","","0","","","","0","","","","0","","","","0","","",""
"Кількість сільськогосподарських тварин, що вибули з домогосподарств, у розрахунку на 1000 сільськогосподарських тварин відповідного виду на початок місяця, у тому числі пало (загинуло)","Україна","Вид сільськогосподарських тварин","Коні","Не застосовується","Загалом","Квартальна","","","","","","","","","","","","","","0","","","","","","","","","1","","","","","","","","","","","","","0","","","","0","","","","0","","","","0","","",""
"Кількість сільськогосподарських тварин, що вибули з домогосподарств, у розрахунку на 1000 сільськогосподарських тварин відповідного виду на початок місяця, у тому числі пало (загинуло)","Україна","Вид сільськогосподарських тварин","Велика рогата худоба","Не застосовується","Домогосподарства, які очолюють жінки","Квартальна","","1","","","","1","","","","","","","","1","","","","","4","","","","1","","","","1","","","","0","","","","","1","","","","0","","","","1","","","","0","","",""
"Кількість сільськогосподарських тварин, що вибули з домогосподарств, у розрахунку на 1000 сільськогосподарських тварин відповідного виду на початок місяця, у тому числі пало (загинуло)","Україна","Вид сільськогосподарських тварин","Велика рогата худоба","Не застосовується","Домогосподарства, які очолюють чоловіки","Квартальна","","1","","","","0","","","","1","","","","1","","","","","1","","","","0","","","","0","","","","1","","","","","4","","","","1","","","","1","","","","0","","",""
"Кількість сільськогосподарських тварин, що вибули з домогосподарств, у розрахунку на 1000 сільськогосподарських тварин відповідного виду на початок місяця, у тому числі пало (загинуло)","Україна","Вид сільськогосподарських тварин","Велика рогата худоба","Не застосовується","Загалом","Квартальна","","1","","","","0","","","","0","","","","1","","","","","2","","","","1","","","","0","","","","1","","","","","2","","","","0","","","","1","","","","0","","",""
"Кількість сільськогосподарських тварин, що вибули з домогосподарств, у розрахунку на 1000 сільськогосподарських тварин відповідного виду на початок місяця, у тому числі пало (загинуло)","Україна","Вид сільськогосподарських тварин","Корови","Не застосовується","Домогосподарства, які очолюють жінки","Квартальна","","","","","","0","","","","","","","","","","","","","1","","","","","","","","1","","","","","","","","","0","","","","1","","","","0","","","","0","","",""
"Кількість сільськогосподарських тварин, що вибули з домогосподарств, у розрахунку на 1000 сільськогосподарських тварин відповідного виду на початок місяця, у тому числі пало (загинуло)","Україна","Вид сільськогосподарських тварин","Корови","Не застосовується","Домогосподарства, які очолюють чоловіки","Квартальна","","0","","","","","","","","","","","","1","","","","","0","","","","0","","","","0","","","","0","","","","","1","","","","0","","","","1","","","","0","","",""
"Кількість сільськогосподарських тварин, що вибули з домогосподарств, у розрахунку на 1000 сільськогосподарських тварин відповідного виду на початок місяця, у тому числі пало (загинуло)","Україна","Вид сільськогосподарських тварин","Корови","Не застосовується","Загалом","Квартальна","","0","","","","0","","","","","","","","0","","","","","1","","","","0","","","","0","","","","0","","","","","0","","","","0","","","","1","","","","0","","",""
"Кількість сільськогосподарських тварин, що вибули з домогосподарств, у розрахунку на 1000 сільськогосподарських тварин відповідного виду на початок місяця, у тому числі пало (загинуло)","Україна","Вид сільськогосподарських тварин","Свині","Не застосовується","Домогосподарства, які очолюють жінки","Квартальна","","0","","","","1","","","","4","","","","1","","","","","0","","","","1","","","","1","","","","0","","","","","0","","","","1","","","","1","","","","1","","",""
"Кількість сільськогосподарських тварин, що вибули з домогосподарств, у розрахунку на 1000 сільськогосподарських тварин відповідного виду на початок місяця, у тому числі пало (загинуло)","Україна","Вид сільськогосподарських тварин","Свині","Не застосовується","Домогосподарства, які очолюють чоловіки","Квартальна","","1","","","","1","","","","2","","","","1","","","","","1","","","","1","","","","1","","","","1","","","","","1","","","","2","","","","1","","","","0","","",""
"Кількість сільськогосподарських тварин, що вибули з домогосподарств, у розрахунку на 1000 сільськогосподарських тварин відповідного виду на початок місяця, у тому числі пало (загинуло)","Україна","Вид сільськогосподарських тварин","Свині","Не застосовується","Загалом","Квартальна","","1","","","","1","","","","3","","","","1","","","","","0","","","","1","","","","1","","","","1","","","","","1","","","","1","","","","1","","","","0","","",""
"Кількість сільськогосподарських тварин, що вибули з домогосподарств, у розрахунку на 1000 сільськогосподарських тварин відповідного виду на початок місяця, у тому числі пало (загинуло)","Україна","Вид сільськогосподарських тварин","Птиця свійська","Не застосовується","Домогосподарства, які очолюють жінки","Квартальна","","3","","","","20","","","","16","","","","6","","","","","3","","","","15","","","","17","","","","5","","","","","4","","","","19","","","","18","","","","4","","",""
"Кількість сільськогосподарських тварин, що вибули з домогосподарств, у розрахунку на 1000 сільськогосподарських тварин відповідного виду на початок місяця, у тому числі пало (загинуло)","Україна","Вид сільськогосподарських тварин","Птиця свійська","Не застосовується","Домогосподарства, які очолюють чоловіки","Квартальна","","3","","","","19","","","","17","","","","5","","","","","3","","","","15","","","","14","","","","4","","","","","3","","","","14","","","","14","","","","4","","",""
"Кількість сільськогосподарських тварин, що вибули з домогосподарств, у розрахунку на 1000 сільськогосподарських тварин відповідного виду на початок місяця, у тому числі пало (загинуло)","Україна","Вид сільськогосподарських тварин","Птиця свійська","Не застосовується","Загалом","Квартальна","","3","","","","19","","","","17","","","","6","","","","","3","","","","15","","","","15","","","","4","","","","","3","","","","16","","","","16","","","","4","","",""
"Кількість сільськогосподарських тварин, що вибули з домогосподарств, у розрахунку на 1000 сільськогосподарських тварин відповідного виду на початок місяця, у тому числі пало (загинуло)","Україна","Вид сільськогосподарських тварин","Кролі","Не застосовується","Домогосподарства, які очолюють жінки","Квартальна","","50","","","","39","","","","66","","","","25","","","","","28","","","","31","","","","47","","","","33","","","","","57","","","","22","","","","34","","","","25","","",""
"Кількість сільськогосподарських тварин, що вибули з домогосподарств, у розрахунку на 1000 сільськогосподарських тварин відповідного виду на початок місяця, у тому числі пало (загинуло)","Україна","Вид сільськогосподарських тварин","Кролі","Не застосовується","Домогосподарства, які очолюють чоловіки","Квартальна","","36","","","","33","","","","56","","","","26","","","","","33","","","","17","","","","71","","","","29","","","","","32","","","","21","","","","29","","","","14","","",""
"Кількість сільськогосподарських тварин, що вибули з домогосподарств, у розрахунку на 1000 сільськогосподарських тварин відповідного виду на початок місяця, у тому числі пало (загинуло)","Україна","Вид сільськогосподарських тварин","Кролі","Не застосовується","Загалом","Квартальна","","42","","","","36","","","","60","","","","26","","","","","31","","","","23","","","","59","","","","31","","","","","44","","","","21","","","","32","","","","19","","",""
"Кількість сільськогосподарських тварин, що вибули з домогосподарств, у розрахунку на 1000 сільськогосподарських тварин відповідного виду на початок місяця, у тому числі пало (загинуло)","Україна","Вид сільськогосподарських тварин","Вівці","Не застосовується","Домогосподарства, які очолюють жінки","Квартальна","","","","","","","","","","","","","","31","","","","","26","","","","","","","","","","","","","","","","","27","","","","0","","","","0","","","","0","","",""
"Кількість сільськогосподарських тварин, що вибули з домогосподарств, у розрахунку на 1000 сільськогосподарських тварин відповідного виду на початок місяця, у тому числі пало (загинуло)","Україна","Вид сільськогосподарських тварин","Вівці","Не застосовується","Домогосподарства, які очолюють чоловіки","Квартальна","","","","","","","","","","","","","","2","","","","","0","","","","","","","","1","","","","","","","","","4","","","","0","","","","21","","","","0","","",""
"Кількість сільськогосподарських тварин, що вибули з домогосподарств, у розрахунку на 1000 сільськогосподарських тварин відповідного виду на початок місяця, у тому числі пало (загинуло)","Україна","Вид сільськогосподарських тварин","Вівці","Не застосовується","Загалом","Квартальна","","","","","","","","","","","","","","11","","","","","8","","","","","","","","1","","","","","","","","","7","","","","0","","","","16","","","","0","","",""
"Кількість сільськогосподарських тварин, що вибули з домогосподарств, у розрахунку на 1000 сільськогосподарських тварин відповідного виду на початок місяця, у тому числі інше вибуття","Україна","Вид сільськогосподарських тварин","Кури дорослі","Не застосовується","Домогосподарства, які очолюють жінки","Квартальна","","1","","","","0","","","","0","","","","0","","","","","1","","","","0","","","","1","","","","0","","","","","1","","","","0","","","","0","","","","0","","",""
"Кількість сільськогосподарських тварин, що вибули з домогосподарств, у розрахунку на 1000 сільськогосподарських тварин відповідного виду на початок місяця, у тому числі інше вибуття","Україна","Вид сільськогосподарських тварин","Кури дорослі","Не застосовується","Домогосподарства, які очолюють чоловіки","Квартальна","","0","","","","0","","","","0","","","","0","","","","","1","","","","","","","","1","","","","0","","","","","1","","","","0","","","","0","","","","0","","",""
"Кількість сільськогосподарських тварин, що вибули з домогосподарств, у розрахунку на 1000 сільськогосподарських тварин відповідного виду на початок місяця, у тому числі інше вибуття","Україна","Вид сільськогосподарських тварин","Кури дорослі","Не застосовується","Загалом","Квартальна","","1","","","","0","","","","0","","","","0","","","","","1","","","","0","","","","1","","","","0","","","","","1","","","","0","","","","0","","","","0","","",""
"Кількість сільськогосподарських тварин, що вибули з домогосподарств, у розрахунку на 1000 сільськогосподарських тварин відповідного виду на початок місяця, у тому числі інше вибуття","Україна","Вид сільськогосподарських тварин","Кози","Не застосовується","Домогосподарства, які очолюють жінки","Квартальна","","66","","","","24","","","","10","","","","16","","","","","30","","","","12","","","","39","","","","30","","","","","25","","","","26","","","","38","","","","28","","",""
"Кількість сільськогосподарських тварин, що вибули з домогосподарств, у розрахунку на 1000 сільськогосподарських тварин відповідного виду на початок місяця, у тому числі інше вибуття","Україна","Вид сільськогосподарських тварин","Кози","Не застосовується","Домогосподарства, які очолюють чоловіки","Квартальна","","18","","","","37","","","","40","","","","8","","","","","237","","","","56","","","","67","","","","12","","","","","13","","","","19","","","","5","","","","8","","",""
"Кількість сільськогосподарських тварин, що вибули з домогосподарств, у розрахунку на 1000 сільськогосподарських тварин відповідного виду на початок місяця, у тому числі інше вибуття","Україна","Вид сільськогосподарських тварин","Кози","Не застосовується","Загалом","Квартальна","","44","","","","30","","","","24","","","","12","","","","","127","","","","33","","","","53","","","","21","","","","","20","","","","21","","","","25","","","","20","","",""
"Кількість сільськогосподарських тварин, що вибули з домогосподарств, у розрахунку на 1000 сільськогосподарських тварин відповідного виду на початок місяця, у тому числі інше вибуття","Україна","Вид сільськогосподарських тварин","Коні","Не застосовується","Домогосподарства, які очолюють жінки","Квартальна","","4","","","","6","","","","19","","","","52","","","","","3","","","","3","","","","1","","","","33","","","","","1","","","","4","","","","1","","","","4","","",""
"Кількість сільськогосподарських тварин, що вибули з домогосподарств, у розрахунку на 1000 сільськогосподарських тварин відповідного виду на початок місяця, у тому числі інше вибуття","Україна","Вид сільськогосподарських тварин","Коні","Не застосовується","Домогосподарства, які очолюють чоловіки","Квартальна","","9","","","","1","","","","42","","","","5","","","","","11","","","","2","","","","8","","","","9","","","","","13","","","","8","","","","11","","","","15","","",""
"Кількість сільськогосподарських тварин, що вибули з домогосподарств, у розрахунку на 1000 сільськогосподарських тварин відповідного виду на початок місяця, у тому числі інше вибуття","Україна","Вид сільськогосподарських тварин","Коні","Не застосовується","Загалом","Квартальна","","7","","","","3","","","","33","","","","23","","","","","8","","","","2","","","","6","","","","16","","","","","9","","","","7","","","","8","","","","11","","",""
"Кількість сільськогосподарських тварин, що вибули з домогосподарств, у розрахунку на 1000 сільськогосподарських тварин відповідного виду на початок місяця, у тому числі інше вибуття","Україна","Вид сільськогосподарських тварин","Велика рогата худоба","Не застосовується","Домогосподарства, які очолюють жінки","Квартальна","","114","","","","54","","","","49","","","","63","","","","","105","","","","45","","","","42","","","","49","","","","","106","","","","73","","","","45","","","","56","","",""
"Кількість сільськогосподарських тварин, що вибули з домогосподарств, у розрахунку на 1000 сільськогосподарських тварин відповідного виду на початок місяця, у тому числі інше вибуття","Україна","Вид сільськогосподарських тварин","Велика рогата худоба","Не застосовується","Домогосподарства, які очолюють чоловіки","Квартальна","","84","","","","45","","","","35","","","","62","","","","","98","","","","40","","","","35","","","","56","","","","","90","","","","60","","","","57","","","","69","","",""
"Кількість сільськогосподарських тварин, що вибули з домогосподарств, у розрахунку на 1000 сільськогосподарських тварин відповідного виду на початок місяця, у тому числі інше вибуття","Україна","Вид сільськогосподарських тварин","Велика рогата худоба","Не застосовується","Загалом","Квартальна","","97","","","","49","","","","41","","","","62","","","","","101","","","","43","","","","38","","","","53","","","","","97","","","","65","","","","52","","","","63","","",""
"Кількість сільськогосподарських тварин, що вибули з домогосподарств, у розрахунку на 1000 сільськогосподарських тварин відповідного виду на початок місяця, у тому числі інше вибуття","Україна","Вид сільськогосподарських тварин","Корови","Не застосовується","Домогосподарства, які очолюють жінки","Квартальна","","17","","","","4","","","","18","","","","15","","","","","18","","","","3","","","","14","","","","10","","","","","12","","","","7","","","","14","","","","16","","",""
"Кількість сільськогосподарських тварин, що вибули з домогосподарств, у розрахунку на 1000 сільськогосподарських тварин відповідного виду на початок місяця, у тому числі інше вибуття","Україна","Вид сільськогосподарських тварин","Корови","Не застосовується","Домогосподарства, які очолюють чоловіки","Квартальна","","10","","","","2","","","","9","","","","13","","","","","8","","","","9","","","","15","","","","15","","","","","10","","","","4","","","","12","","","","8","","",""
"Кількість сільськогосподарських тварин, що вибули з домогосподарств, у розрахунку на 1000 сільськогосподарських тварин відповідного виду на початок місяця, у тому числі інше вибуття","Україна","Вид сільськогосподарських тварин","Корови","Не застосовується","Загалом","Квартальна","","13","","","","3","","","","13","","","","14","","","","","12","","","","7","","","","15","","","","13","","","","","11","","","","5","","","","13","","","","11","","",""
