"Показник","Основа","Територіальний розріз","Вид сільськогосподарської продукції","Вид господарства","Періодичність","2015","2015-M01","2015-M02","2015-M03","2015-M04","2015-M05","2015-M06","2015-M07","2015-M08","2015-M09","2015-M10","2015-M11","2015-M12","2016","2016-M01","2016-M02","2016-M03","2016-M04","2016-M05","2016-M06","2016-M07","2016-M08","2016-M09","2016-M10","2016-M11","2016-M12","2017","2017-M01","2017-M02","2017-M03","2017-M04","2017-M05","2017-M06","2017-M07","2017-M08","2017-M09","2017-M10","2017-M11","2017-M12","2018","2018-M01","2018-M02","2018-M03","2018-M04","2018-M05","2018-M06","2018-M07","2018-M08","2018-M09","2018-M10","2018-M11","2018-M12","2019","2019-M01","2019-M02","2019-M03","2019-M04","2019-M05","2019-M06","2019-M07","2019-M08","2019-M09","2019-M10","2019-M11","2019-M12","2020","2020-M01","2020-M02","2020-M03","2020-M04","2020-M05","2020-M06","2020-M07","2020-M08","2020-M09","2020-M10","2020-M11","2020-M12","2021","2021-M01","2021-M02","2021-M03","2021-M04","2021-M05","2021-M06","2021-M07","2021-M08","2021-M09","2021-M10","2021-M11","2021-M12","2022","2022-M01","2022-M02","2022-M03","2022-M04","2022-M05","2022-M06","2022-M07","2022-M08","2022-M09","2022-M10","2022-M11","2022-M12"
"Індекс сільськогосподарської продукції","До відповідного місяця попереднього року","Україна","Продукція сільського господарства","Усього","Місячна","","97.6","95.1","93.2","94.9","92.7","82.8","101.9","88.9","95.8","100.5","88.9","94.5","","96.4","97.3","98.3","97.3","101.4","102.4","101","97.9","103.1","113","130.8","151.2","","97.7","99","100.5","100.6","93.2","96.3","98.1","106.9","97.1","90.6","87.3","106.1","","101.2","98.1","99.2","99.9","104.4","138.8","88","108.1","110.9","128.9","95.7","107.4","","102.7","103.3","103.3","99.6","100.6","113.5","119.3","88.1","109.6","93.4","79.3","84.8","","99.3","101","94.8","99.8","96","59.4","94.2","94.5","80.8","81.7","111.3","189.1","","94.3","93.5","97.7","95.4","96.1","84","109.2","125","88.6","161","153.8","110.7","","100.9","","","","","","","","","","",""
"Індекс сільськогосподарської продукції","До відповідного періоду попереднього року","Україна","Продукція сільського господарства","Підприємства","Місячна","","99.3","97.7","95.6","95.6","94.6","86.7","96.1","95.6","95.7","96","95.5","94.8","","95.4","96","97","96.8","98.9","101.1","100.7","97.7","101","104.4","106.4","109.7","","97.5","98.2","99.4","100.1","99","95.4","97.6","101.8","98.6","96.4","95.5","97","","104.3","101.7","101.2","101.3","102.1","130.4","100","103.2","107.3","114.9","113.7","112","","106.7","106.7","107.4","106.1","106","114.6","123.5","112.6","113.6","107.6","105.9","102.7","","100.7","102.6","99.2","100.5","99.5","73.3","84.7","85.7","82.5","81.9","84.7","88","","93.3","93.01","95.34","95.6","96.3","90.4","104.39","113.73","100.46","117.2","122.53","122.3","","107.3","","","","","","","","","","",""
"Індекс сільськогосподарської продукції","До відповідного періоду попереднього року","Україна","Продукція сільського господарства","Господарства населення","Місячна","","95.9","95","95","94.8","94.6","93.9","96.9","92.9","93.6","95.1","95","95.8","","97.6","97.8","97.8","97.9","97.7","98.6","100.2","101.5","100.5","101.2","101.3","100.9","","97.9","98.4","98.7","99","97.1","98.9","98.1","99.5","100.2","99.3","99.3","99.3","","97.9","97.6","97.7","98","99.5","101.5","96.3","99.8","101.6","101.6","101.6","101.7","","98.1","98.6","98.3","98","97.6","99.1","102","97.9","98.9","98.6","98.4","99.1","","97.4","96.6","96.7","96.4","96.3","91.6","95.8","96.3","93.8","93.2","93.3","93.6","","95.67","95.18","95.05","94.83","94.5","93.25","99.72","102.11","103.95","106.3","106.29","105.6","","92.3","","","","","","","","","","",""
"Індекс сільськогосподарської продукції","До відповідного періоду попереднього року","Україна","Продукція сільського господарства","Усього","Місячна","","97.6","96.4","95.3","95.2","94.6","90.7","96.5","94.2","94.7","95.6","95.3","95.2","","96.4","96.9","97.4","97.3","98.3","99.7","100.5","99.7","100.8","102.9","104.1","106.3","","97.7","98.3","99.1","99.5","98","97.4","97.9","100.6","99.4","97.7","97.2","97.8","","101.2","99.7","99.5","99.6","100.7","113.7","98.2","101.4","104.4","108.8","108.2","108.2","","102.7","103","103.1","102.1","101.7","106.6","113.4","104.9","106.5","103.7","102.8","101.4","","99.3","100.1","98.2","98.6","98","81.3","88.8","90.2","86.9","85.8","87.6","89.9","","94.29","93.89","95.22","95.26","95.5","91.79","102.52","108.44","101.93","113","116.69","116.4","","100.9","","","","","","","","","","",""
"Індекс сільськогосподарської продукції","До відповідного періоду попереднього року","Україна","Продукція тваринництва","Підприємства","Місячна","","99.3","97.7","95.6","95.6","94.6","95.1","94.8","95.4","95","95.1","95.6","96.5","","95.4","96","97","96.8","98.9","97.7","98","97.5","97.4","97.5","97","97.5","","97.5","98.2","99.4","100.1","99","99.2","100.1","99.9","100.5","100.9","101.1","101","","104.3","101.7","101.2","101.3","102.1","102.1","100.9","101.4","101.5","101.7","101.8","104.5","","106.7","106.7","107.4","106.1","106","106.4","107.4","106.4","106.6","106.3","105.6","103.8","","100.7","102.6","99.2","100.5","99.5","99.5","98.8","99.6","99.3","99","99.4","99.3","","93.3","93.01","95.34","95.6","96.3","96.09","96.07","96.22","96.42","96.8","97.08","98","","107.3","","","","","","","","","","",""
"Індекс сільськогосподарської продукції","До відповідного періоду попереднього року","Україна","Продукція тваринництва","Господарства населення","Місячна","","95.9","95","95","94.8","94.6","94.7","94.7","94.6","94.8","94.9","94.9","96.3","","97.6","97.8","97.8","97.9","97.7","97.1","96.9","96.7","95.9","95.8","96.2","97.2","","97.9","98.4","98.7","99","97.1","99.3","99.2","99","98.9","98.9","99.3","99.6","","97.9","97.6","97.7","98","99.5","97.3","97.3","97.1","97.2","97.1","97.3","98.1","","98.1","98.6","98.3","98","97.6","97.3","97.1","97.1","96.9","96.7","96.6","96.7","","97.4","96.6","96.7","96.4","96.3","96","96","95.9","95.8","95.5","95.6","95.6","","95.67","95.18","95.05","94.83","94.5","94.41","94.02","94.01","94.1","93.5","93.44","92.4","","92.3","","","","","","","","","","",""
"Індекс сільськогосподарської продукції","До відповідного періоду попереднього року","Україна","Продукція тваринництва","Усього","Місячна","","97.6","96.4","95.3","95.2","94.6","94.9","94.8","95","94.9","95","95.2","96.4","","96.4","96.9","97.4","97.3","98.3","97.4","97.4","97.1","96.6","96.6","96.5","97.3","","97.7","98.3","99.1","99.5","98","99.2","99.6","99.4","99.6","99.8","100.1","100.2","","101.2","99.7","99.5","99.6","100.7","99.5","99","99.1","99.1","99.2","99.4","101.2","","102.7","103","103.1","102.1","101.7","101.6","101.9","101.4","101.4","101.2","100.8","100.2","","99.3","100.1","98.2","98.6","98","97.8","97.5","97.8","97.6","97.3","97.5","97.5","","94.29","93.89","95.22","95.26","95.5","95.3","95.1","95.15","95.3","95.3","95.34","95.4","","100.9","","","","","","","","","","",""
"Індекс сільськогосподарської продукції","До відповідного періоду попереднього року","Україна","Продукція рослинництва","Підприємства","Місячна","","","","","","","41.3","97","95.8","96","96.3","95.5","94.5","","","","","","","133.3","102.1","97.8","102","105.9","108.6","112.4","","","","","","","69.4","96.4","102.7","98.1","95.5","94.3","96.2","","","","","","","410.9","99.6","103.9","108.8","117.9","116.4","113.6","","","","","","","134.9","132","115.2","115.4","107.8","106","102.5","","","","","","","26.5","79.1","80.8","78.8","78.8","82.1","85.8","","","","","","","52.64","108.51","121.49","101.59","121.8","128.05","127.8","","","","","","","","","","","","",""
"Індекс сільськогосподарської продукції","До відповідного періоду попереднього року","Україна","Продукція рослинництва","Господарства населення","Місячна","","","","","","","90.6","99.5","91.8","93.1","95.2","95.1","95.5","","","","","","","103.8","103","103.8","102.3","103.3","103.3","102.8","","","","","","","97.8","97.3","99.7","100.7","99.4","99.3","99.1","","","","","","","115.1","95.5","101","103.1","103.2","103.2","103.3","","","","","","","104.1","106","98.3","99.6","99.1","99","100.2","","","","","","","77.2","95.7","96.6","93","92.4","92.4","92.8","","","","","","","88.41","104.37","106.32","107.8","111.1","111.55","111.4","","","","","","","","","","","","",""
"Індекс сільськогосподарської продукції","До відповідного періоду попереднього року","Україна","Продукція рослинництва","Усього","Місячна","","","","","","","70.3","98","93.6","94.6","95.8","95.3","94.8","","","","","","","110.8","102.5","100.9","102.2","104.8","106.4","109.1","","","","","","","89.7","96.8","101.1","99.4","97.2","96.4","97.1","","","","","","","180.3","97.8","102.4","106.1","111.5","110.8","110.2","","","","","","","119.6","120.9","106.4","108","104.3","103.3","101.8","","","","","","","43.2","84.3","87.1","83.9","83.1","85.2","87.9","","","","","","","73.63","107.04","114.77","104.07","118","122.67","122.6","","","","","","","","","","","","",""
"Індекс сільськогосподарської продукції","До відповідного періоду попереднього року","Вінницька","Продукція сільського господарства","Підприємства","Місячна","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.33","85.62","90.48","90.92","94","94.76","93.49","111.17","98.56","120.9","132.11","129.1","","","","","","","","","","","","",""
"Індекс сільськогосподарської продукції","До відповідного періоду попереднього року","Вінницька","Продукція сільського господарства","Господарства населення","Місячна","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93.39","90.74","89.25","88.2","88.5","88.38","90.84","98.16","97.44","102.8","104.67","104","","","","","","","","","","","","",""
"Індекс сільськогосподарської продукції","До відповідного періоду попереднього року","Вінницька","Продукція сільського господарства","Усього","Місячна","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87.7","86.7","90.2","90.3","92.7","93.06","92.69","106.13","98.19","115.2","124.29","122.1","","","","","","","","","","","","",""
"Індекс сільськогосподарської продукції","До відповідного періоду попереднього року","Вінницька","Продукція тваринництва","Підприємства","Місячна","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.33","85.62","90.48","90.92","94","95.25","96.53","98.08","99.83","99.8","99.87","100.1","","","","","","","","","","","","",""
"Індекс сільськогосподарської продукції","До відповідного періоду попереднього року","Вінницька","Продукція тваринництва","Господарства населення","Місячна","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93.39","90.74","89.25","88.2","88.5","89.39","89.59","89.71","90.23","90.5","91.11","89.9","","","","","","","","","","","","",""
"Індекс сільськогосподарської продукції","До відповідного періоду попереднього року","Вінницька","Продукція тваринництва","Усього","Місячна","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87.7","86.7","90.2","90.3","92.7","93.81","94.81","95.99","97.42","97.5","97.72","97.7","","","","","","","","","","","","",""
