"Показник","Територіальний розріз","Категорія розрізу","Розріз","Періодичність","2017","2018","2019","2020","2021","2022"
"Випуск сільського господарства (у фактичних цінах)","Україна","Види (групи) продукції (діяльності)","Випуск продукції сільського господарства","Річна","703893","842925","838038","887822","1359369","1069560"
"Випуск сільського господарства (у фактичних цінах)","Україна","Види (групи) продукції (діяльності)","Випуск сільськогосподарських продуктів","Річна","694895","830161","824941","874365","1337754","1054655"
"Випуск сільського господарства (у фактичних цінах)","Україна","Види (групи) продукції (діяльності)","Випуск сільськогосподарських послуг","Річна","8998","12764","13097","13457","21615","14905"
"Випуск сільського господарства (у фактичних цінах)","Україна","Види (групи) продукції (діяльності)","Тваринництво (вирощування cільськогосподарських тварин)","Річна","87933","106005","108451","110358","127891","136627"
"Випуск сільського господарства (у фактичних цінах)","Україна","Види (групи) продукції (діяльності)","Випуск тваринництва","Річна","172260","200935","200990","203942","237586","243599"
"Випуск сільського господарства (у фактичних цінах)","Україна","Види (групи) продукції (діяльності)","Продукти тваринництва","Річна","84327","94930","92539","93584","109695","106972"
"Випуск сільського господарства (у фактичних цінах)","Україна","Види (групи) продукції (діяльності)","Ячмінь","Річна","29716","32923","33954","32190","53703","29042"
"Випуск сільського господарства (у фактичних цінах)","Україна","Види (групи) продукції (діяльності)","Гречка","Річна","1772","778","599","1395","1861","3454"
"Випуск сільського господарства (у фактичних цінах)","Україна","Види (групи) продукції (діяльності)","Велика рогата худоба","Річна","17013","18535","17349","18905","19986","15522"
"Випуск сільського господарства (у фактичних цінах)","Україна","Види (групи) продукції (діяльності)","Випуск рослинництва","Річна","522635","629226","623951","670423","1100168","811056"
"Випуск сільського господарства (у фактичних цінах)","Україна","Види (групи) продукції (діяльності)","Яйця","Річна","18615","24705","21199","21454","27860","28915"
"Випуск сільського господарства (у фактичних цінах)","Україна","Види (групи) продукції (діяльності)","Кормові культури","Річна","8562","9735","9087","10351","13884","11746"
"Випуск сільського господарства (у фактичних цінах)","Україна","Види (групи) продукції (діяльності)","Плоди, ягоди, виноград","Річна","23741","23547","24769","26847","28805","24076"
"Випуск сільського господарства (у фактичних цінах)","Україна","Види (групи) продукції (діяльності)","Зернові культури","Річна","226918","296578","288400","309737","538945","334107"
"Випуск сільського господарства (у фактичних цінах)","Україна","Види (групи) продукції (діяльності)","Виноград","Річна","2132","2385","2447","2328","3351","3313"
"Випуск сільського господарства (у фактичних цінах)","Україна","Види (групи) продукції (діяльності)","Мед","Річна","4215","5271","4655","4573","5607","5902"
"Випуск сільського господарства (у фактичних цінах)","Україна","Види (групи) продукції (діяльності)","Коні","Річна","220","339","327","613","982","1382"
"Випуск сільського господарства (у фактичних цінах)","Україна","Види (групи) продукції (діяльності)","Технічні культури","Річна","173845","207752","189748","209865","393081","294270"
"Випуск сільського господарства (у фактичних цінах)","Україна","Види (групи) продукції (діяльності)","Кукурудза на зерно","Річна","81497","137198","126363","138360","258518","171214"
"Випуск сільського господарства (у фактичних цінах)","Україна","Види (групи) продукції (діяльності)","Молоко","Річна","60620","64091","65846","66721","75252","71038"
"Випуск сільського господарства (у фактичних цінах)","Україна","Види (групи) продукції (діяльності)","Просо","Річна","307","620","1177","1527","1342","655"
"Випуск сільського господарства (у фактичних цінах)","Україна","Види (групи) продукції (діяльності)","Випуск несільськогосподарської невід’ємної вторинної діяльністі","Річна","3899","4662","4729","5030","7087","4356"
"Випуск сільського господарства (у фактичних цінах)","Україна","Види (групи) продукції (діяльності)","Овес","Річна","1699","1763","1849","2413","2356","2058"
"Випуск сільського господарства (у фактичних цінах)","Україна","Види (групи) продукції (діяльності)","Олійні культури","Річна","160646","196306","181219","200777","375824","270875"
"Випуск сільського господарства (у фактичних цінах)","Україна","Види (групи) продукції (діяльності)","Інше тваринництво","Річна","1074","1195","1118","1102","1299","692"
"Випуск сільського господарства (у фактичних цінах)","Україна","Види (групи) продукції (діяльності)","Інші продукти тваринництва","Річна","5092","6134","5494","5409","6583","7019"
"Випуск сільського господарства (у фактичних цінах)","Україна","Види (групи) продукції (діяльності)","Інші продукти рослинництва","Річна","2608","2662","2821","3518","4577","9488"
"Випуск сільського господарства (у фактичних цінах)","Україна","Види (групи) продукції (діяльності)","Інші зернові культури","Річна","17379","12978","10495","11143","16207","9860"
"Випуск сільського господарства (у фактичних цінах)","Україна","Види (групи) продукції (діяльності)","Інші олійні культури","Річна","545","409","415","301","893","1240"
