"Показник","Територіальний розріз","Вид продукції","Елемент","Періодичність","2015","2016","2017","2018","2019","2020","2021"
"Калорійність середньодобового раціону населення у розрахунку на одну особу","Україна","Продукція тваринництва","Не застосовується","Річна","","","781","787","800","802","795"
"Калорійність середньодобового раціону населення у розрахунку на одну особу","Україна","Продукція рослинництва","Не застосовується","Річна","","","1926","1919","1891","1872","1882"
"Калорійність середньодобового раціону населення у розрахунку на одну особу","Україна","Загалом","Не застосовується","Річна","","","2707","2706","2691","2674","2677"
"Калорійність середньодобового раціону населення у розрахунку на одну особу","Автономна Республіка Крим","Загалом","Не застосовується","Річна","","","","","","",""
"Калорійність середньодобового раціону населення у розрахунку на одну особу","Вінницька","Загалом","Не застосовується","Річна","","","","","2948","2962.153478","2989"
"Калорійність середньодобового раціону населення у розрахунку на одну особу","Волинська","Загалом","Не застосовується","Річна","","","","","2846","2923.15254","2916"
"Калорійність середньодобового раціону населення у розрахунку на одну особу","Дніпропетровська","Загалом","Не застосовується","Річна","","","","","2727","2689.73306","2702"
"Калорійність середньодобового раціону населення у розрахунку на одну особу","Донецька","Загалом","Не застосовується","Річна","","","","","2460","2397.313907","2375"
"Калорійність середньодобового раціону населення у розрахунку на одну особу","Житомирська","Загалом","Не застосовується","Річна","","","","","2807","2796.41634","2767"
"Калорійність середньодобового раціону населення у розрахунку на одну особу","Закарпатська","Загалом","Не застосовується","Річна","","","","","2851","2918.239789","2910"
"Калорійність середньодобового раціону населення у розрахунку на одну особу","Запорізька","Загалом","Не застосовується","Річна","","","","","2503","2559.963243","2558"
"Калорійність середньодобового раціону населення у розрахунку на одну особу","Івано-Франківська","Загалом","Не застосовується","Річна","","","","","2994","3051.390035","3070"
"Калорійність середньодобового раціону населення у розрахунку на одну особу","Київська","Загалом","Не застосовується","Річна","","","","","2621","2532.174853","2601"
"Калорійність середньодобового раціону населення у розрахунку на одну особу","Кіровоградська","Загалом","Не застосовується","Річна","","","","","2811","2860.798285","2850"
"Калорійність середньодобового раціону населення у розрахунку на одну особу","Луганська","Загалом","Не застосовується","Річна","","","","","2364","2320.607755","2331"
"Калорійність середньодобового раціону населення у розрахунку на одну особу","Львівська","Загалом","Не застосовується","Річна","","","","","2778","2814.149836","2862"
"Калорійність середньодобового раціону населення у розрахунку на одну особу","Миколаївська","Загалом","Не застосовується","Річна","","","","","2766","2811.576154","2804"
"Калорійність середньодобового раціону населення у розрахунку на одну особу","Одеська","Загалом","Не застосовується","Річна","","","","","2634","2600.336526","2548"
"Калорійність середньодобового раціону населення у розрахунку на одну особу","Полтавська","Загалом","Не застосовується","Річна","","","","","2719","2646.16764","2634"
"Калорійність середньодобового раціону населення у розрахунку на одну особу","Рівненська","Загалом","Не застосовується","Річна","","","","","2548","2526.734418","2591"
"Калорійність середньодобового раціону населення у розрахунку на одну особу","Сумська","Загалом","Не застосовується","Річна","","","","","2691","2644.681778","2638"
"Калорійність середньодобового раціону населення у розрахунку на одну особу","Тернопільська","Загалом","Не застосовується","Річна","","","","","2768","2671.579329","2699"
"Калорійність середньодобового раціону населення у розрахунку на одну особу","Харківська","Загалом","Не застосовується","Річна","","","","","2509","2495.50388","2448"
"Калорійність середньодобового раціону населення у розрахунку на одну особу","Херсонська","Загалом","Не застосовується","Річна","","","","","2711","2744.534789","2717"
