"Показник","Територіальний розріз","Тип палива/енергії","Тип споживача","Обсяги постачання","Періодичність","2019-S1","2019-S2","2020-S1","2020-S2","2021-S1"
"Середня ціна електроенергії, з ПДВ","Україна","Електроенергія","Побутовий споживач","З річним обсягом постачання від 1000 (включно) до 2500 кВт∙год","Піврічна","1.17","1.17","1.2","1.11","1.63"
"Середня ціна електроенергії, з ПДВ","Україна","Електроенергія","Побутовий споживач","З річним обсягом постачання до від 2500 (включно) до 5000 кВт∙год","Піврічна","1.35","1.34","1.33","1.31","1.63"
"Середня ціна електроенергії, з ПДВ","Україна","Електроенергія","Побутовий споживач","З річним обсягом постачання від 5000 (включно) до 15000 кВт∙год","Піврічна","1.37","1.34","1.3","1.3","1.56"
"Середня ціна електроенергії, з ПДВ","Україна","Електроенергія","Побутовий споживач","З річним обсягом постачання до 1000 кВт∙год","Піврічна","1.03","1.06","0.99","0.96","1.65"
"Середня ціна електроенергії, з ПДВ","Україна","Електроенергія","Побутовий споживач","З річним обсягом постачання понад 15000 (включно) кВт∙год","Піврічна","1.45","1.37","1.26","1.27","1.5"
"Середня ціна електроенергії, з ПДВ","Україна","Електроенергія","Побутовий споживач","Загалом","Піврічна","1.25","1.23","1.25","1.21","1.61"
"Середня ціна електроенергії, з ПДВ","Україна","Електроенергія","Непобутовий споживач","З річним обсягом постачання від 20000 (включно) до 70000 тис.кВт∙год","Піврічна","2.27","2.17","1.76","1.96","2.21"
"Середня ціна електроенергії, з ПДВ","Україна","Електроенергія","Непобутовий споживач","З річним обсягом постачання від 2000 (включно) до 20000 тис.кВт∙год","Піврічна","2.32","2.28","1.97","2.12","2.36"
"Середня ціна електроенергії, з ПДВ","Україна","Електроенергія","Непобутовий споживач","З річним обсягом постачання від 20 (включно) до 500 тис.кВт∙год","Піврічна","2.5","2.45","2.17","2.26","2.55"
"Середня ціна електроенергії, з ПДВ","Україна","Електроенергія","Непобутовий споживач","З річним обсягом постачання від 500 (включно) до 2000 тис.кВт∙год","Піврічна","2.4","2.34","2.04","2.21","2.39"
"Середня ціна електроенергії, з ПДВ","Україна","Електроенергія","Непобутовий споживач","З річним обсягом постачання від 70000 (включно) до 150000 тис.кВт∙год","Піврічна","2.27","2.01","1.62","1.77","2.06"
"Середня ціна електроенергії, з ПДВ","Україна","Електроенергія","Непобутовий споживач","З річним обсягом постачання до 20 тис.кВт∙год","Піврічна","2.64","2.53","2.23","2.37","2.89"
"Середня ціна електроенергії, з ПДВ","Україна","Електроенергія","Непобутовий споживач","З річним обсягом постачання понад 150000 (включно) тис.кВт∙год","Піврічна","1.96","1.93","1.69","1.92","1.94"
"Середня ціна електроенергії, з ПДВ","Україна","Електроенергія","Непобутовий споживач","Загалом","Піврічна","2.24","2.22","1.9","2.09","2.25"
"Середня ціна електроенергії, без ПДВ","Україна","Електроенергія","Побутовий споживач","З річним обсягом постачання від 1000 (включно) до 2500 кВт∙год","Піврічна","0.98","0.97","1","0.93","1.36"
"Середня ціна електроенергії, без ПДВ","Україна","Електроенергія","Побутовий споживач","З річним обсягом постачання до від 2500 (включно) до 5000 кВт∙год","Піврічна","1.12","1.12","1.11","1.09","1.35"
"Середня ціна електроенергії, без ПДВ","Україна","Електроенергія","Побутовий споживач","З річним обсягом постачання від 5000 (включно) до 15000 кВт∙год","Піврічна","1.14","1.12","1.09","1.09","1.3"
"Середня ціна електроенергії, без ПДВ","Україна","Електроенергія","Побутовий споживач","З річним обсягом постачання до 1000 кВт∙год","Піврічна","0.86","0.89","0.82","0.8","1.37"
"Середня ціна електроенергії, без ПДВ","Україна","Електроенергія","Побутовий споживач","З річним обсягом постачання понад 15000 (включно) кВт∙год","Піврічна","1.21","1.14","1.05","1.06","1.25"
"Середня ціна електроенергії, без ПДВ","Україна","Електроенергія","Побутовий споживач","Загалом","Піврічна","1.05","1.03","1.04","1.01","1.34"
"Середня ціна електроенергії, без ПДВ","Україна","Електроенергія","Непобутовий споживач","З річним обсягом постачання від 20000 (включно) до 70000 тис.кВт∙год","Піврічна","1.89","1.81","1.47","1.64","1.84"
"Середня ціна електроенергії, без ПДВ","Україна","Електроенергія","Непобутовий споживач","З річним обсягом постачання від 2000 (включно) до 20000 тис.кВт∙год","Піврічна","1.93","1.9","1.64","1.77","1.96"
"Середня ціна електроенергії, без ПДВ","Україна","Електроенергія","Непобутовий споживач","З річним обсягом постачання від 20 (включно) до 500 тис.кВт∙год","Піврічна","2.08","2.05","1.81","1.89","2.13"
"Середня ціна електроенергії, без ПДВ","Україна","Електроенергія","Непобутовий споживач","З річним обсягом постачання від 500 (включно) до 2000 тис.кВт∙год","Піврічна","2","1.95","1.7","1.84","1.99"
"Середня ціна електроенергії, без ПДВ","Україна","Електроенергія","Непобутовий споживач","З річним обсягом постачання від 70000 (включно) до 150000 тис.кВт∙год","Піврічна","1.89","1.67","1.35","1.48","1.71"
