"Показник","Територіальний розріз","Вид сільськогосподарської продукції","Періодичність","2021-M01","2021-M02","2021-M03","2021-M04","2021-M05","2021-M06","2021-M07","2021-M08","2021-M09","2021-M10","2021-M11","2021-M12","2022-M01","2022-M02"
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Україна","Ячмінь","Місячна","6250","6342.6","6503.7","6580","6618.1","6354.3","5790","5900.2","5960.8","6002.9","6071.6","6135.4","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Україна","Ячмінь пивоварний","Місячна","6134.6","6159.7","6317.1","6526.9","6655","6691.2","6661.3","6682.5","6785.1","6826.5","6861","6892.9","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Україна","Ячмінь пивоварний 1 класу","Місячна","","","","","","","","6994","6987.9","6993.4","6995.3","7011.5","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Україна","Ячмінь пивоварний 2 класу","Місячна","","6158.8","","","","","","6676.9","6780.2","6822.8","6858.2","6890.4","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Україна","Ячмінь товарний","Місячна","6408","6621.8","6720.9","6635.1","6578.8","6191.5","5612.3","5722.6","5760.1","5799.2","5874.8","5946.1","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Україна","Ячмінь товарний 1 класу","Місячна","","","","","","","","","","6622","6622","6670.6","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Україна","Ячмінь товарний 2 класу","Місячна","","","","","","","","","","5999.6","6082.4","6159","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Україна","Ячмінь товарний 3 класу","Місячна","","6636.5","6729.3","6641.8","6585.1","6188.7","5607.4","5719.4","5756.3","5795.5","5871.6","5942.5","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Україна","Гречка","Місячна","15398.1","15477.2","16138.3","16838.4","17206.9","17310.4","17329.9","17328.2","17368.9","17535.5","17685.6","18044.2","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Україна","Культури зернові та зернобобові","Місячна","6763","6874.4","6920","6847.2","6885.3","6809","6414.3","6421.8","6491.4","6460.9","6440.2","6460.7","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Україна","Кукурудза","Місячна","6589.2","6660.7","6689","6671.4","6770.7","6790.1","6787.8","6782.2","6716.3","6393.8","6226.3","6160.3","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Україна","Кукурудза 1 класу","Місячна","","","","","","","","","","","","","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Україна","Кукурудза 2 класу","Місячна","","","","","","","","","","","","","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Україна","Кукурудза 3 класу","Місячна","6588.8","6657.2","6684.9","6666.9","6768","6787.3","6785.2","6781.3","6731.9","6401.3","6227.9","6160","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Україна","Культури зернобобові сушені","Місячна","8742.8","8867.5","8955.4","9134.6","9186.6","9022.9","8573","8204.5","8190.6","8179.1","8240.2","8248.6","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Україна","Просо","Місячна","5853","6258.3","6406.3","6421.3","6299.5","6245.6","6231.4","6195.2","6174.8","6141.8","6138.3","6141.4","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Україна","Овес","Місячна","5109.2","5183.8","5261","5356.4","5343.5","5287.9","5295","5263.8","5174.1","5167.6","5121.1","5099.7","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Україна","Горох сушений","Місячна","8580.9","8793.4","8918.4","9053.3","9093.9","9031.6","8531.1","8056","8011","8006.5","8042.8","8059.2","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Україна","Рис нелущений","Місячна","","","","","","","","","","","","","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Україна","Жито","Місячна","4879.2","4995.2","4901.4","4825.2","4558.4","4427.7","4363.5","4309.1","4293.3","4302","4328.3","4387.6","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Україна","Жито 1 класу","Місячна","","","","","","","","","","4862.6","4843.6","4737.8","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Україна","Жито 2 класу","Місячна","4826.6","4836.7","4687.5","4557.3","4406.7","4298.2","4224.3","4178.7","4177.6","4210.3","4256.7","4340.9","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Україна","Жито 3 класу","Місячна","","","5241.3","5182","4556.2","4418.1","4407.8","","4349.8","4352","4362.9","4417.2","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Україна","Жито 4 класу","Місячна","","","","","","","","4182.8","","4069.5","4071","4113.3","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Україна","Насіння ріпаку й кользи","Місячна","","","","","","","15826.8","16102.7","16247","16257","16257.7","16266.3","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Україна","Насіння соняшнику","Місячна","17141.1","17381.8","18107.2","18445.6","18644.9","18630.4","18494.7","18355.6","17537.9","17158.7","17019.6","17094.5","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Україна","Боби сої","Місячна","14784.8","15595.7","15740.8","15983.3","16175.7","16205.7","16202.3","16164.4","15977.1","15652.2","15444","15401.5","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Україна","Пшениця","Місячна","6986","7194","7151.7","6942","6901.9","6830.7","6317.7","6368.3","6462","6522.7","6614.3","6702.3","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Україна","Пшениця, крім пшениці твердої","Місячна","","7193.1","7149.5","6940.1","6899.7","6828.3","6315.2","6366.1","6458.3","6518.8","6610","6698.2","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Україна","Пшениця, крім пшениці твердої 1 класу","Місячна","","","","","","","","","","7267.9","7267.9","7253.6","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Україна","Пшениця, крім пшениці твердої 2 класу","Місячна","","7457.1","7305.5","7090.9","7031","6946.9","6593.2","","","6697.8","6778.8","6862.8","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Україна","Пшениця, крім пшениці твердої 3 класу","Місячна","","6914.8","6972.9","6785.2","6763.5","6706","6259.8","6360","6471.6","6543.2","6651.6","6750.6","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Україна","Пшениця, крім пшениці твердої 4 класу","Місячна","","","","","","","","6071.6","6215.5","6261.5","6332.9","6402.7","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Україна","Пшениця тверда","Місячна","","7901.8","8047","7974.5","7578","7441.7","7416.5","7439.3","7908","7997.8","8194.3","8277.1","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Вінницька","Ячмінь","Місячна","","","","","","","5453.3","5505","5555.5","5648","5669.2","5683.9","",""
"Середня ціна зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Вінницька","Ячмінь товарний 3 класу","Місячна","","","","","","","","","","","","5683.9","",""
