"Показник","Територіальний розріз","Вид сільськогосподарської техніки","Вид господарства","Періодичність","2018","2019"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Україна","Комбайни і  машини бурякозбиральні (без машин для обрізання бурячиння)","Підприємства","Річна","1642","1568"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Україна","Комбайни і  машини бурякозбиральні (без машин для обрізання бурячиння)","Фермерські господарства","Річна","387","366"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Україна","Комбайни льонозбиральні","Підприємства","Річна","102","97"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Україна","Комбайни льонозбиральні","Фермерські господарства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Україна","Комбайни кормозбиральні, включаючи причіпні","Підприємства","Річна","3717","3587"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Україна","Комбайни кормозбиральні, включаючи причіпні","Фермерські господарства","Річна","384","383"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Україна","Комбайни зернозбиральні","Підприємства","Річна","26287","26524"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Україна","Комбайни зернозбиральні","Фермерські господарства","Річна","9636","9986"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Україна","Комбайни кукурудзозбиральні","Підприємства","Річна","1497","1477"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Україна","Комбайни кукурудзозбиральні","Фермерські господарства","Річна","428","457"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Україна","Комбайни картоплезбиральні, включаючи картоплекопачі","Підприємства","Річна","947","953"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Україна","Комбайни картоплезбиральні, включаючи картоплекопачі","Фермерські господарства","Річна","396","414"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Україна","Молочні сепаратори","Підприємства","Річна","261","267"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Україна","Молочні сепаратори","Фермерські господарства","Річна","71","73"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Україна","Культиватори","Підприємства","Річна","70505","71633"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Україна","Культиватори","Фермерські господарства","Річна","24120","25309"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Україна","Роздавачі кормів","Підприємства","Річна","5074","5040"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Україна","Роздавачі кормів","Фермерські господарства","Річна","473","502"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Україна","Борони","Підприємства","Річна","161129","160004"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Україна","Борони","Фермерські господарства","Річна","34251","35660"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Україна","Дискові борони","Підприємства","Річна","33343","34780"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Україна","Дискові борони","Фермерські господарства","Річна","12897","13862"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Україна","Інкубатори","Підприємства","Річна","1020","1168"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Україна","Інкубатори","Фермерські господарства","Річна","49","59"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Україна","Вантажні та вантажно-пасажирські автомобілі","Підприємства","Річна","78077","78678"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Україна","Вантажні та вантажно-пасажирські автомобілі","Фермерські господарства","Річна","15194","15655"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Україна","Машини і механізми для приготування кормів","Підприємства","Річна","3854","4046"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Україна","Машини і механізми для приготування кормів","Фермерські господарства","Річна","533","579"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Україна","Cівалки","Підприємства","Річна","65070","66511"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Україна","Cівалки","Фермерські господарства","Річна","22898","24322"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Україна","Машини посівні та для садіння","Підприємства","Річна","68921","70536"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Україна","Машини посівні та для садіння","Фермерські господарства","Річна","24544","26107"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Україна","Машини і комбайни  для збирання  плодів, ягід, винограду","Підприємства","Річна","86","94"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Україна","Машини і комбайни  для збирання  плодів, ягід, винограду","Фермерські господарства","Річна","27","27"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Україна","Машини і комбайни  для збирання овочів і баштанних культур","Підприємства","Річна","402","447"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Україна","Машини і комбайни  для збирання овочів і баштанних культур","Фермерські господарства","Річна","104","123"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Україна","Машини для захисту сільськогосподарських культур","Підприємства","Річна","22229","23487"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Україна","Машини для захисту сільськогосподарських культур","Фермерські господарства","Річна","8178","8857"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Україна","Машини і пристрої для поливу","Підприємства","Річна","2361","2717"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Україна","Машини і пристрої для поливу","Фермерські господарства","Річна","590","706"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Україна","Транспортери для прибирання гною","Підприємства","Річна","12309","11958"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Україна","Транспортери для прибирання гною","Фермерські господарства","Річна","892","923"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Україна","Доїльні  апарати","Підприємства","Річна","5674","5752"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Україна","Доїльні  апарати","Фермерські господарства","Річна","567","587"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Україна","Доїльні установки","Підприємства","Річна","4356","4334"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Україна","Доїльні установки","Фермерські господарства","Річна","468","497"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Україна","Очищувачі-охолоджувачі молока","Підприємства","Річна","2543","2555"
