Культура,Територіальний розріз,2019,2020,2021,2022,2023,Crop,SCOR,Region
Пшениця,Вінницька,0.2709,0.2852,0.2566,0.3118,0.2967,Пшениця,0.28424,Vinnytska oblast
Пшениця,Волинська,0.2013,0.2188,0.2286,0.2445,0.211,Пшениця,0.22084,Volynska oblast
Пшениця,Дніпропетровська,0.284,0.3,0.3019,0.3139,0.258,Пшениця,0.29156,Dnipropetrovska oblast
Пшениця,Донецька,0.2896,0.2773,0.2926,0.1791,0.1105,Пшениця,0.22982,Donetska oblast
Пшениця,Житомирська,0.1909,0.2072,0.2019,0.2189,0.1667,Пшениця,0.19712,Zhytomyrska oblast
Пшениця,Закарпатська,0.0184,0.0146,0.0109,0.0327,0.0,Пшениця,0.01532,Zakarpatska oblast
Пшениця,Запорізька,0.2908,0.2988,0.3026,0.1939,0.1282,Пшениця,0.24286000000000002,Zaporizka oblast
Пшениця,Івано-Франківська,0.1252,0.1446,0.1071,0.1416,0.1125,Пшениця,0.1262,Ivano-Frankivska oblast
Пшениця,Київська,0.216,0.2136,0.2282,0.2352,0.2259,Пшениця,0.22378,Kyivska oblast
Пшениця,Кіровоградська,0.2464,0.2773,0.2748,0.271,0.2523,Пшениця,0.26436000000000004,Kirovohradska oblast
Пшениця,Луганська,0.2545,0.2552,0.2568,0.0224,,Пшениця,0.19722499999999998,Luhanska oblast
Пшениця,Львівська,0.1803,0.2128,0.1952,0.2284,0.2069,Пшениця,0.20472,Lvivska oblast
Пшениця,Миколаївська,0.2672,0.2838,0.3057,0.2821,0.2389,Пшениця,0.27554,Mykolaivska oblast
Пшениця,Одеська,0.3021,0.2974,0.2868,0.294,0.259,Пшениця,0.28785999999999995,Odeska oblast
Пшениця,Полтавська,0.2083,0.2211,0.2254,0.2368,0.2018,Пшениця,0.21868000000000004,Poltavska oblast
Пшениця,Рівненська,0.1766,0.1855,0.1647,0.162,0.1503,Пшениця,0.16782,Rivnenska oblast
Пшениця,Сумська,0.2289,0.2339,0.2225,0.2605,0.2397,Пшениця,0.2371,Sumska oblast
Пшениця,Тернопільська,0.2547,0.2532,0.233,0.2761,0.2662,Пшениця,0.25664,Ternopilska oblast
Пшениця,Харківська,0.2897,0.3016,0.3038,0.2552,0.1978,Пшениця,0.26962,Kharkivska oblast
Пшениця,Херсонська,0.2318,0.2736,0.2507,0.0943,0.0072,Пшениця,0.17152,Khersonska oblast
Пшениця,Хмельницька,0.2513,0.2552,0.2378,0.2696,0.261,Пшениця,0.25498000000000004,Khmelnytska oblast
Пшениця,Черкаська,0.2149,0.2094,0.2225,0.2657,0.2229,Пшениця,0.22708000000000003,Cherkaska oblast
Пшениця,Чернівецька,0.0814,0.0955,0.0796,0.0988,0.0855,Пшениця,0.08816,Chernivetska oblast
Пшениця,Чернігівська,0.2334,0.2316,0.2444,0.231,0.2421,Пшениця,0.23650000000000002,Chernihivska oblast
Пшениця,Вінницька,1.0,1.0,0.9695,1.0,0.9992,Пшениця,0.9937400000000001,Vinnytska oblast
Пшениця,Волинська,0.9335,0.9363,0.9246,0.9484,0.9356,Пшениця,0.93568,Volynska oblast
Пшениця,Дніпропетровська,0.9848,0.9904,0.9858,0.9976,0.9879,Пшениця,0.9893000000000001,Dnipropetrovska oblast
Пшениця,Донецька,0.9527,0.9503,0.9579,0.8604,0.8418,Пшениця,0.9126200000000001,Donetska oblast
Пшениця,Житомирська,0.9329,0.9417,0.9083,0.9217,0.917,Пшениця,0.92432,Zhytomyrska oblast
Пшениця,Закарпатська,0.6262,0.6354,0.6094,0.6648,0.5748,Пшениця,0.62212,Zakarpatska oblast
Пшениця,Запорізька,0.9831,0.99,1.0,0.8742,0.836,Пшениця,0.93666,Zaporizka oblast
Пшениця,Івано-Франківська,0.8798,0.8675,0.8356,0.8614,0.8491,Пшениця,0.85868,Ivano-Frankivska oblast
Пшениця,Київська,0.9569,0.9512,0.9525,0.9532,0.9594,Пшениця,0.9546400000000002,Kyivska oblast
Пшениця,Кіровоградська,0.9663,0.9667,0.9606,0.9872,0.9923,Пшениця,0.97462,Kirovohradska oblast
Пшениця,Луганська,0.9216,0.9384,0.9195,0.5546,,Пшениця,0.8335249999999998,Luhanska oblast
Пшениця,Львівська,0.9463,0.9445,0.9034,0.9207,0.924,Пшениця,0.92778,Lvivska oblast
Пшениця,Миколаївська,0.9628,0.956,0.9513,0.9595,0.9533,Пшениця,0.95658,Mykolaivska oblast
Пшениця,Одеська,0.9767,0.9635,0.9814,0.9942,1.0,Пшениця,0.98316,Odeska oblast
Пшениця,Полтавська,0.9227,0.9257,0.9221,0.9604,0.9565,Пшениця,0.9374799999999999,Poltavska oblast
Пшениця,Рівненська,0.8958,0.8921,0.8931,0.9166,0.8822,Пшениця,0.89596,Rivnenska oblast
Пшениця,Сумська,0.9464,0.9408,0.9296,0.9516,0.943,Пшениця,0.9422799999999999,Sumska oblast
Пшениця,Тернопільська,0.9782,0.9582,0.9333,0.9739,0.9753,Пшениця,0.9637800000000001,Ternopilska oblast
Пшениця,Харківська,0.9968,0.9992,0.9849,0.9651,0.9371,Пшениця,0.9766200000000002,Kharkivska oblast
Пшениця,Херсонська,0.9564,0.9618,0.9661,0.7335,0.6678,Пшениця,0.8571199999999999,Khersonska oblast
Пшениця,Хмельницька,0.9966,0.9742,0.9505,0.992,0.9915,Пшениця,0.9809599999999999,Khmelnytska oblast
Пшениця,Черкаська,0.9461,0.9421,0.9372,0.9627,0.9556,Пшениця,0.9487400000000001,Cherkaska oblast
Пшениця,Чернівецька,0.847,0.8043,0.7874,0.8192,0.7974,Пшениця,0.81106,Chernivetska oblast
Пшениця,Чернігівська,0.9467,0.937,0.9517,0.9423,0.9761,Пшениця,0.95076,Chernihivska oblast
Пшениця,Вінницька,0.3847,0.4055,0.3766,0.4326,0.4229,Пшениця,0.40446,Vinnytska oblast
Пшениця,Волинська,0.4103,0.4296,0.4401,0.458,0.4401,Пшениця,0.43562,Volynska oblast
Пшениця,Дніпропетровська,0.3581,0.381,0.3735,0.3909,0.3606,Пшениця,0.37282000000000004,Dnipropetrovska oblast
Пшениця,Донецька,0.3908,0.3815,0.3881,0.3405,0.3327,Пшениця,0.36672000000000005,Donetska oblast
Пшениця,Житомирська,0.3683,0.3847,0.3795,0.3951,0.3643,Пшениця,0.37838000000000005,Zhytomyrska oblast
Пшениця,Закарпатська,0.4081,0.4231,0.4394,0.4337,0.3213,Пшениця,0.40512,Zakarpatska oblast
Пшениця,Запорізька,0.3553,0.3656,0.3637,0.3745,0.3366,Пшениця,0.35914,Zaporizka oblast
Пшениця,Івано-Франківська,0.3927,0.4124,0.4078,0.4232,0.4144,Пшениця,0.4101,Ivano-Frankivska oblast
Пшениця,Київська,0.3707,0.3771,0.3775,0.3838,0.3912,Пшениця,0.38005999999999995,Kyivska oblast
Пшениця,Кіровоградська,0.3601,0.3975,0.3756,0.376,0.3753,Пшениця,0.37689999999999996,Kirovohradska oblast
Пшениця,Луганська,0.3753,0.3782,0.3766,0.3393,,Пшениця,0.36735,Luhanska oblast
Пшениця,Львівська,0.3665,0.4094,0.3985,0.4284,0.4233,Пшениця,0.4052200000000001,Lvivska oblast
Пшениця,Миколаївська,0.3588,0.3799,0.3914,0.3884,0.3557,Пшениця,0.37484,Mykolaivska oblast
Пшениця,Одеська,0.3701,0.3821,0.3506,0.3615,0.3366,Пшениця,0.36018,Odeska oblast
Пшениця,Полтавська,0.3517,0.3694,0.3608,0.3666,0.3537,Пшениця,0.36044,Poltavska oblast
Пшениця,Рівненська,0.4089,0.4253,0.3935,0.3945,0.4124,Пшениця,0.40692000000000006,Rivnenska oblast
Пшениця,Сумська,0.3806,0.3916,0.3699,0.4115,0.4077,Пшениця,0.39226,Sumska oblast
Пшениця,Тернопільська,0.4085,0.415,0.4015,0.4362,0.4454,Пшениця,0.42132,Ternopilska oblast
Пшениця,Харківська,0.3594,0.3731,0.3655,0.3615,0.3527,Пшениця,0.36244,Kharkivska oblast
Пшениця,Херсонська,0.3345,0.3713,0.3457,0.3333,0.2944,Пшениця,0.33583999999999997,Khersonska oblast
Пшениця,Хмельницька,0.379,0.3911,0.3785,0.4086,0.4077,Пшениця,0.39298,Khmelnytska oblast
Пшениця,Черкаська,0.373,0.3771,0.3682,0.4166,0.3851,Пшениця,0.384,Cherkaska oblast
Пшениця,Чернівецька,0.3389,0.3815,0.3741,0.3871,0.395,Пшениця,0.37532,Chernivetska oblast
Пшениця,Чернігівська,0.3847,0.3984,0.395,0.3921,0.3975,Пшениця,0.39353999999999995,Chernihivska oblast
